GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,GPA,Research,Chance_of_Admission
337,118,4,4.5,4.5,3.86,1,0.92
324,107,4,4,4.5,3.548,1,0.76
316,104,3,3,3.5,3.2,1,0.72
322,110,3,3.5,2.5,3.468,1,0.8
314,103,2,2,3,3.284,0,0.65
330,115,5,4.5,3,3.736,1,0.9
321,109,3,3,4,3.28,1,0.75
308,101,2,3,4,3.16,0,0.68
302,102,1,2,1.5,3.2,0,0.5
323,108,3,3.5,3,3.44,0,0.45
325,106,3,3.5,4,3.36,1,0.52
327,111,4,4,4.5,3.6,1,0.84
328,112,4,4,4.5,3.64,1,0.78
307,109,3,4,3,3.2,1,0.62
311,104,3,3.5,2,3.28,1,0.61
314,105,3,3.5,2.5,3.32,0,0.54
317,107,3,4,3,3.48,0,0.66
319,106,3,4,3,3.2,1,0.65
318,110,3,4,3,3.52,0,0.63
303,102,3,3.5,3,3.4,0,0.62
312,107,3,3,2,3.16,1,0.64
325,114,4,3,2,3.36,0,0.7
328,116,5,5,5,3.8,1,0.94
334,119,5,5,4.5,3.88,1,0.95
336,119,5,4,3.5,3.92,1,0.97
340,120,5,4.5,4.5,3.84,1,0.94
322,109,5,4.5,3.5,3.52,0,0.76
298,98,2,1.5,2.5,3,1,0.44
295,93,1,2,2,2.88,0,0.46
310,99,2,1.5,2,2.92,0,0.54
300,97,2,3,3,3.24,1,0.65
327,103,3,4,4,3.32,1,0.74
338,118,4,3,4.5,3.76,1,0.91
340,114,5,4,4,3.84,1,0.9
331,112,5,4,5,3.92,1,0.94
320,110,5,5,5,3.68,1,0.88
299,106,2,4,4,3.36,0,0.64
300,105,1,1,2,3.12,0,0.58
304,105,1,3,1.5,3,0,0.52
307,108,2,4,3.5,3.08,0,0.48
308,110,3,3.5,3,3.2,1,0.46
316,105,2,2.5,2.5,3.28,1,0.49
313,107,2,2.5,2,3.4,1,0.53
332,117,4,4.5,4,3.64,0,0.87
326,113,5,4.5,4,3.76,1,0.91
322,110,5,5,4,3.64,1,0.88
329,114,5,4,5,3.72,1,0.86
339,119,5,4.5,4,3.88,0,0.89
321,110,3,3.5,5,3.54,1,0.82
327,111,4,3,4,3.36,1,0.78
313,98,3,2.5,4.5,3.32,1,0.76
312,100,2,1.5,3.5,3.16,1,0.56
334,116,4,4,3,3.2,1,0.78
324,112,4,4,2.5,3.24,1,0.72
322,110,3,3,3.5,3.2,0,0.7
320,103,3,3,3,3.08,0,0.64
316,102,3,2,3,2.96,0,0.64
298,99,2,4,2,3.04,0,0.46
300,99,1,3,2,2.72,1,0.36
311,104,2,2,2,3.32,0,0.42
309,100,2,3,3,3.24,0,0.48
307,101,3,4,3,3.28,0,0.47
304,105,2,3,3,3.28,1,0.54
315,107,2,4,3,3.4,1,0.56
325,111,3,3,3.5,3.48,0,0.52
325,112,4,3.5,3.5,3.568,0,0.55
327,114,3,3,3,3.608,0,0.61
316,107,2,3.5,3.5,3.456,1,0.57
318,109,3,3.5,4,3.688,1,0.68
328,115,4,4.5,4,3.664,1,0.78
332,118,5,5,5,3.856,1,0.94
336,112,5,5,5,3.904,1,0.96
321,111,5,5,5,3.78,1,0.93
314,108,4,4.5,4,3.616,1,0.84
314,106,3,3,5,3.56,0,0.74
329,114,2,2,4,3.424,1,0.72
327,112,3,3,3,3.488,1,0.74
301,99,2,3,2,3.288,0,0.64
296,95,2,3,2,3.016,1,0.44
294,93,1,1.5,2,2.944,0,0.46
312,105,3,2,3,3.208,1,0.5
340,120,4,5,5,3.8,1,0.96
320,110,5,5,4.5,3.688,1,0.92
322,115,5,4,4.5,3.744,1,0.92
340,115,5,4.5,4.5,3.78,1,0.94
