University Name,Location,Type,Average Annual Fees (USD),Popular Courses,Academic Requirements,Test Score Requirements
Marywood University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lindenwood University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Sullivan University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Florida State College at Jacksonville,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Xavier University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Tusculum College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Claremont School of Theology,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Columbia College (SC),"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chabot-Las Positas Community College District,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Keller Graduate School of Management,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Monroe College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
San Mateo County Community College District,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Los Rios Community College District,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
DigiPen Institute of Technology,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Pittsburgh Medical Center,"Pennsylvania, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Claremont Graduate University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
The University of Texas at Rio Grande Valley,"Texas, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
College of Mount Saint Vincent,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Arkansas System eVersity,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
ECPI University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Mary Washington,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Baldwin Wallace University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
California State University Channel Islands,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
